Number-of-branches False-positive-rate-(%) Number-of-hash-functions Bloom-filter-size-(KB)
256 71 2 0.0253906
256 72 2 0.0253906
256 73 2 0.0244141
256 74 2 0.0234375
256 75 2 0.0224609
256 76 2 0.0224609
256 77 2 0.0214844
256 78 2 0.0214844
256 79 2 0.0205078
256 80 2 0.0195312
256 81 2 0.0195312
256 82 2 0.0185547
256 83 2 0.0175781
256 84 2 0.0175781
256 85 2 0.0166016
256 86 2 0.0166016
256 87 2 0.015625
256 88 2 0.0146484
256 89 2 0.0146484
256 90 2 0.0136719
256 91 2 0.0136719
256 92 2 0.0126953
256 93 2 0.0117188
256 94 2 0.0117188
256 95 2 0.0107422
256 96 2 0.00976562
256 97 2 0.00976562
256 98 2 0.00878906
256 99 2 0.00683594
256 100 2 0.00012207
512 1 7 0.599609
512 2 6 0.509766
512 3 5 0.456055
512 4 5 0.419922
512 5 4 0.390625
512 6 4 0.366211
512 7 4 0.34668
512 8 4 0.330078
512 9 4 0.31543
512 10 3 0.300781
512 11 3 0.288086
512 12 3 0.276367
512 13 3 0.265625
512 14 3 0.256836
512 15 3 0.248047
512 16 3 0.240234
512 17 3 0.232422
512 18 3 0.225586
512 19 2 0.21875
512 20 2 0.210938
512 21 2 0.204102
512 22 2 0.198242
512 23 2 0.191406
512 24 2 0.186523
512 25 2 0.180664
512 26 2 0.175781
512 27 2 0.170898
512 28 2 0.166016
512 29 2 0.162109
512 30 2 0.158203
512 31 2 0.154297
512 32 2 0.150391
512 33 2 0.146484
512 34 2 0.143555
512 35 2 0.139648
512 36 2 0.136719
512 37 2 0.133789
512 38 2 0.130859
512 39 2 0.126953
512 40 2 0.123047
512 41 2 0.119141
512 42 2 0.115234
512 43 2 0.111328
512 44 2 0.108398
512 45 2 0.104492
512 46 2 0.101562
512 47 2 0.0986328
512 48 2 0.0957031
512 49 2 0.0927734
512 50 2 0.0908203
512 51 2 0.0878906
512 52 2 0.0859375
512 53 2 0.0830078
512 54 2 0.0810547
512 55 2 0.0791016
512 56 2 0.0761719
512 57 2 0.0742188
512 58 2 0.0722656
512 59 2 0.0703125
512 60 2 0.0683594
512 61 2 0.0664062
512 62 2 0.0654297
512 63 2 0.0634766
512 64 2 0.0615234
512 65 2 0.0595703
512 66 2 0.0585938
512 67 2 0.0566406
512 68 2 0.0556641
512 69 2 0.0537109
512 70 2 0.0527344
512 71 2 0.0507812
512 72 2 0.0498047
512 73 2 0.0478516
512 74 2 0.046875
512 75 2 0.0458984
512 76 2 0.0439453
512 77 2 0.0429688
512 78 2 0.0419922
512 79 2 0.0400391
512 80 2 0.0390625
512 81 2 0.0380859
512 82 2 0.0371094
512 83 2 0.0351562
512 84 2 0.0341797
512 85 2 0.0332031
512 86 2 0.0322266
512 87 2 0.03125
512 88 2 0.0302734
512 89 2 0.0283203
512 90 2 0.0273438
512 91 2 0.0263672
512 92 2 0.0253906
512 93 2 0.0234375
512 94 2 0.0224609
512 95 2 0.0214844
512 96 2 0.0195312
512 97 2 0.0185547
512 98 2 0.0166016
512 99 2 0.0136719
512 100 2 0.00012207
1024 1 7 1.19922
1024 2 6 1.01953
1024 3 5 0.913086
1024 4 5 0.838867
1024 5 4 0.78125
1024 6 4 0.732422
1024 7 4 0.692383
1024 8 4 0.65918
1024 9 4 0.630859
1024 10 3 0.601562
1024 11 3 0.575195
1024 12 3 0.551758
1024 13 3 0.53125
1024 14 3 0.512695
1024 15 3 0.495117
1024 16 3 0.479492
1024 17 3 0.464844
1024 18 3 0.451172
1024 19 2 0.4375
1024 20 2 0.421875
1024 21 2 0.408203
1024 22 2 0.395508
1024 23 2 0.382812
1024 24 2 0.37207
1024 25 2 0.361328
1024 26 2 0.350586
1024 27 2 0.341797
1024 28 2 0.332031
1024 29 2 0.323242
1024 30 2 0.31543
1024 31 2 0.307617
1024 32 2 0.299805
1024 33 2 0.292969
1024 34 2 0.286133
1024 35 2 0.279297
1024 36 2 0.273438
1024 37 2 0.267578
1024 38 2 0.261719
1024 39 2 0.25293
1024 40 2 0.245117
1024 41 2 0.237305
1024 42 2 0.229492
1024 43 2 0.222656
1024 44 2 0.21582
1024 45 2 0.208984
1024 46 2 0.203125
1024 47 2 0.197266
1024 48 2 0.191406
1024 49 2 0.185547
1024 50 2 0.180664
1024 51 2 0.175781
1024 52 2 0.170898
1024 53 2 0.166016
1024 54 2 0.161133
1024 55 2 0.157227
1024 56 2 0.152344
1024 57 2 0.148438
1024 58 2 0.144531
1024 59 2 0.140625
1024 60 2 0.136719
1024 61 2 0.132812
1024 62 2 0.129883
1024 63 2 0.125977
1024 64 2 0.123047
1024 65 2 0.119141
1024 66 2 0.116211
1024 67 2 0.113281
1024 68 2 0.110352
1024 69 2 0.107422
1024 70 2 0.104492
1024 71 2 0.101562
1024 72 2 0.0986328
1024 73 2 0.0957031
1024 74 2 0.0927734
1024 75 2 0.0908203
1024 76 2 0.0878906
1024 77 2 0.0849609
1024 78 2 0.0830078
1024 79 2 0.0800781
1024 80 2 0.078125
1024 81 2 0.0751953
1024 82 2 0.0732422
1024 83 2 0.0712891
1024 84 2 0.0683594
1024 85 2 0.0664062
1024 86 2 0.0634766
1024 87 2 0.0615234
1024 88 2 0.0595703
1024 89 2 0.0566406
1024 90 2 0.0546875
1024 91 2 0.0527344
1024 92 2 0.0498047
1024 93 2 0.0478516
1024 94 2 0.0449219
1024 95 2 0.0419922
1024 96 2 0.0390625
1024 97 2 0.0361328
1024 98 2 0.0322266
1024 99 2 0.0273438
1024 100 2 0.00012207
2048 1 7 2.39844
2048 2 6 2.03809
2048 3 5 1.8252
2048 4 5 1.67773
2048 5 4 1.5625
2048 6 4 1.46484
2048 7 4 1.38477
2048 8 4 1.31836
2048 9 4 1.26074
2048 10 3 1.20215
2048 11 3 1.15039
2048 12 3 1.10352
2048 13 3 1.0625
2048 14 3 1.02441
2048 15 3 0.990234
2048 16 3 0.958008
2048 17 3 0.929688
2048 18 3 0.902344
2048 19 2 0.874023
2048 20 2 0.84375
2048 21 2 0.816406
2048 22 2 0.790039
2048 23 2 0.765625
2048 24 2 0.743164
2048 25 2 0.72168
2048 26 2 0.701172
2048 27 2 0.682617
2048 28 2 0.664062
2048 29 2 0.646484
2048 30 2 0.630859
2048 31 2 0.615234
2048 32 2 0.599609
2048 33 2 0.585938
2048 34 2 0.572266
2048 35 2 0.558594
2048 36 2 0.545898
2048 37 2 0.53418
2048 38 2 0.522461
2048 39 2 0.505859
2048 40 2 0.490234
2048 41 2 0.474609
2048 42 2 0.458984
2048 43 2 0.445312
2048 44 2 0.431641
2048 45 2 0.418945
2048 46 2 0.40625
2048 47 2 0.394531
2048 48 2 0.382812
2048 49 2 0.37207
2048 50 2 0.361328
2048 51 2 0.350586
2048 52 2 0.34082
2048 53 2 0.331055
